,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
115,Luxembourg,2020-08-11 06:35:16,49.8153,6.1296,7216.0,121.0,6170.0,925.0,1152.7598502178998,,,1.6768292682926829,442,LUX
116,MS Zaandam,2020-08-11 06:35:16,,,9.0,2.0,,7.0,,,,22.222222222222218,8888,
117,Madagascar,2020-08-11 06:35:16,-18.766947000000002,46.869107,13202.0,151.0,11011.0,2040.0,47.67610754952716,,,1.1437660960460536,450,MDG
118,Malawi,2020-08-11 06:35:16,-13.254307999999998,34.301525,4674.0,146.0,2430.0,2098.0,24.432885492935032,,,3.1236628155755244,454,MWI
119,Malaysia,2020-08-11 06:35:16,4.210483999999999,101.97576600000001,9094.0,125.0,8803.0,166.0,28.09738788218426,,,1.3745326588959754,458,MYS
120,Maldives,2020-08-11 06:35:16,3.2028,73.2207,5157.0,19.0,2835.0,2303.0,954.042424085455,,,0.3684312584836145,462,MDV
121,Mali,2020-08-11 06:35:16,17.570692,-3.996166000000001,2573.0,125.0,1969.0,479.0,12.705649554976356,,,4.858142246404975,466,MLI
122,Malta,2020-08-11 06:35:16,35.9375,14.3754,1112.0,9.0,688.0,415.0,251.8463827657353,,,0.8093525179856115,470,MLT
123,Mauritania,2020-08-11 06:35:16,21.0079,-10.9408,6555.0,157.0,5570.0,828.0,140.97805000795756,,,2.395118230358505,478,MRT
124,Mauritius,2020-08-11 06:35:16,-20.348404000000002,57.552152,344.0,10.0,334.0,0.0,27.048979883893825,,,2.9069767441860463,480,MUS
125,Moldova,2020-08-11 06:35:16,47.4116,28.3699,27841.0,850.0,19300.0,7691.0,690.1649816817854,,,3.05305125534284,498,MDA
126,Monaco,2020-08-11 06:35:16,43.7333,7.4167,133.0,4.0,113.0,16.0,338.9053103659158,,,3.0075187969924815,492,MCO
127,Mongolia,2020-08-11 06:35:16,46.8625,103.8467,293.0,0.0,263.0,30.0,8.937580911035381,,,0.0,496,MNG
128,Montenegro,2020-08-11 06:35:16,42.708678000000006,19.37439,3696.0,68.0,2521.0,1107.0,588.4769338058983,,,1.83982683982684,499,MNE
129,Morocco,2020-08-11 06:35:16,31.7917,-7.0926,34063.0,516.0,24524.0,9023.0,92.28524803120018,,,1.5148401491354255,504,MAR
130,Mozambique,2020-08-11 06:35:16,-18.665695,35.529562,2411.0,16.0,860.0,1535.0,7.713858405746072,,,0.6636250518457072,508,MOZ
131,Namibia,2020-08-11 06:35:16,-22.9576,18.4904,3101.0,19.0,715.0,2367.0,122.04260195929342,,,0.6127055788455337,516,NAM
132,Nepal,2020-08-11 06:35:16,28.1667,84.25,23310.0,79.0,16493.0,6738.0,80.00190000222399,,,0.3389103389103389,524,NPL
133,New Zealand,2020-08-11 06:35:16,-40.9006,174.886,1570.0,22.0,1526.0,22.0,32.557530919804165,,,1.4012738853503184,554,NZL
134,Nicaragua,2020-08-11 06:35:16,12.865416,-85.207229,3902.0,123.0,2913.0,866.0,58.90207853992889,,,3.1522296258329066,558,NIC
135,Niger,2020-08-11 06:35:16,17.607789,8.081666,1158.0,69.0,1062.0,27.0,4.783812174479758,,,5.958549222797928,562,NER
136,Nigeria,2020-08-11 06:35:16,9.082,8.6753,46867.0,950.0,33346.0,12571.0,22.73556510036085,,,2.0270126101521324,566,NGA
137,North Macedonia,2020-08-11 06:35:16,41.6086,21.7453,11942.0,528.0,8087.0,3327.0,573.2031602492103,,,4.421369954781444,807,MKD
138,Oman,2020-08-11 06:35:16,21.512583,55.92325500000001,81787.0,521.0,76124.0,5142.0,1601.5871157097586,,,0.6370205533886804,512,OMN
139,Panama,2020-08-11 06:35:16,8.538,-80.7821,75394.0,1664.0,49510.0,24220.0,1747.3477137125333,,,2.207072180810144,591,PAN
140,Papua New Guinea,2020-08-11 06:35:16,-6.314993,143.95555,214.0,3.0,53.0,158.0,2.3918559762924603,,,1.4018691588785046,598,PNG
141,Paraguay,2020-08-11 06:35:16,-23.4425,-58.4438,7234.0,82.0,5276.0,1876.0,101.42263684835535,,,1.1335360796239975,600,PRY
142,Philippines,2020-08-11 06:35:16,12.879721,121.77401699999999,136638.0,2294.0,68159.0,66185.0,124.69122750518486,,,1.6788887425167234,608,PHL
143,Poland,2020-08-11 06:35:16,51.9194,19.1451,52410.0,1809.0,36877.0,13724.0,138.4800565334724,,,3.4516313680595307,616,POL
144,Portugal,2020-08-11 06:35:16,39.3999,-8.2245,52825.0,1759.0,38600.0,12466.0,518.0594087875625,,,3.329862754377662,620,PRT
145,Qatar,2020-08-11 06:35:16,25.3548,51.1839,113262.0,188.0,109993.0,3081.0,3931.2614107307727,,,0.16598682700287828,634,QAT
146,Romania,2020-08-11 06:35:16,45.9432,24.9668,62547.0,2729.0,30311.0,29507.0,325.12752835814626,,,4.36311893456121,642,ROU
147,Rwanda,2020-08-11 06:35:16,-1.9403,29.8739,2152.0,7.0,1392.0,753.0,16.614926457718525,,,0.3252788104089219,646,RWA
148,Saint Kitts and Nevis,2020-08-11 06:35:16,17.357822,-62.782998,17.0,0.0,17.0,0.0,31.959693186945405,,,0.0,659,KNA
149,Saint Lucia,2020-08-11 06:35:16,13.9094,-60.9789,25.0,0.0,24.0,1.0,13.614407310392151,,,0.0,662,LCA
150,Saint Vincent and the Grenadines,2020-08-11 06:35:16,12.9843,-61.2872,57.0,0.0,52.0,5.0,51.37588217797686,,,0.0,670,VCT
151,San Marino,2020-08-11 06:35:16,43.9424,12.4578,699.0,42.0,657.0,0.0,2059.6381637102954,,,6.008583690987124,674,SMR
